vdd	vair_f	air_adc	AirTemp	therm_resistance	AirDirectADC	AirDirectVolt
0.00	0.00	0	0.00	0.00	0	0.00
4.85	4.43	330	-273.35	-248681.18	769	3.65
4.85	4.43	330	-273.35	-248681.18	769	3.65
4.85	4.44	329	-273.35	-249112.12	770	3.65
4.85	4.44	328	-273.35	-249542.31	771	3.66
4.85	4.44	328	-273.35	-249542.31	771	3.66
4.85	4.44	328	-273.35	-249542.31	769	3.65
4.85	4.44	328	-273.35	-249542.31	769	3.65
4.85	4.43	330	-273.35	-248681.18	769	3.65
4.85	4.44	329	-273.35	-249112.12	770	3.65
4.85	4.44	329	-273.35	-249112.12	770	3.65
4.85	4.44	328	-273.35	-249542.31	771	3.66
4.85	4.44	328	-273.35	-249542.31	771	3.66
4.85	4.44	328	-273.35	-249542.31	770	3.65
4.85	4.43	330	-273.35	-248681.18	769	3.65
4.85	4.43	330	-273.35	-248681.18	769	3.65
4.85	4.44	329	-273.35	-249112.12	770	3.65
4.85	4.44	329	-273.35	-249112.12	770	3.65
4.85	4.44	327	-273.35	-249971.87	772	3.66
4.85	4.44	328	-273.35	-249542.31	769	3.65
4.85	4.44	328	-273.35	-249542.31	769	3.65
4.85	4.43	330	-273.35	-248681.18	767	3.64
4.85	4.43	330	-273.35	-248681.18	767	3.64
4.85	4.43	331	-273.35	-248249.62	768	3.64
4.85	4.31	366	-273.35	-232702.68	729	3.46
4.85	4.31	366	-273.35	-232702.68	729	3.46
4.85	4.14	413	-273.35	-210379.31	680	3.23
4.85	4.12	420	-273.35	-206902.00	673	3.19
4.85	4.12	420	-273.35	-206902.00	673	3.19
4.85	4.12	420	-273.35	-206902.00	675	3.20
4.85	4.12	420	-273.35	-206902.00	675	3.20
4.85	4.13	418	-273.35	-207899.75	678	3.22
4.85	4.12	419	-273.35	-207401.31	674	3.20
4.85	4.12	419	-273.35	-207401.31	674	3.20
4.85	4.10	425	-273.35	-204392.81	668	3.17
4.85	4.10	425	-273.35	-204392.81	668	3.17
4.85	4.09	429	-273.35	-202369.93	666	3.16
4.85	4.08	432	-273.35	-200843.62	662	3.14
4.85	4.08	432	-273.35	-200843.62	662	3.14
4.85	4.05	439	-273.35	-197251.62	652	3.09
4.85	4.05	439	-273.35	-197251.62	652	3.09
4.85	4.01	450	-273.35	-191518.43	641	3.04
4.85	3.99	457	-273.35	-187812.43	636	3.02
4.85	3.99	457	-273.35	-187812.43	636	3.02
4.85	4.00	455	-273.35	-188875.93	639	3.03
4.85	4.00	455	-273.35	-188875.93	639	3.03
4.85	4.00	454	-273.35	-189406.31	637	3.02
4.85	3.99	457	-273.35	-187812.43	634	3.01
4.85	3.99	457	-273.35	-187812.43	634	3.01
4.85	4.00	453	-273.35	-189935.75	641	3.04
4.85	4.04	442	-273.35	-195698.87	652	3.09
4.85	4.04	442	-273.35	-195698.87	652	3.09
4.85	4.05	441	-273.35	-196217.31	651	3.09
4.85	4.05	441	-273.35	-196217.31	651	3.09
4.85	4.04	444	-273.35	-194659.18	648	3.07
4.85	4.03	445	-273.35	-194138.00	649	3.08
4.85	4.03	445	-273.35	-194138.00	649	3.08
4.85	4.04	442	-273.35	-195698.87	653	3.10
4.85	4.04	442	-273.35	-195698.87	653	3.10
4.85	4.07	435	-273.35	-199309.50	657	3.12
4.85	4.08	431	-273.35	-201353.25	661	3.14
4.85	4.08	431	-273.35	-201353.25	661	3.14
4.85	4.09	427	-273.35	-203383.12	667	3.17
4.85	4.09	427	-273.35	-203383.12	667	3.17
4.85	4.12	419	-273.35	-207401.31	677	3.21
4.85	4.22	392	-273.35	-220568.81	704	3.34
4.85	4.22	392	-273.35	-220568.81	704	3.34
4.85	4.52	306	-273.35	-258838.43	796	3.78
4.85	4.52	306	-273.35	-258838.43	796	3.78
4.85	4.92	192	-273.35	-302345.93	922	4.38
4.85	5.11	138	-273.35	-320581.50	981	4.66
4.85	5.11	138	-273.35	-320581.50	981	4.66
4.85	5.11	138	-273.35	-320581.50	981	4.66
4.85	5.11	138	-273.35	-320581.50	980	4.65
4.85	5.11	138	-273.35	-320581.50	980	4.65
4.85	5.20	112	-273.35	-328888.56	1013	4.81
4.85	5.20	112	-273.35	-328888.56	1013	4.81
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.76	5.12	93	-273.35	-331520.31	1023	4.76
4.76	5.12	93	-273.35	-331520.31	1023	4.76
4.76	5.12	93	-273.35	-331520.31	1023	4.76
4.76	5.12	93	-273.35	-331520.31	1023	4.76
4.66	5.01	85	-273.35	-330825.62	1023	4.66
4.66	5.01	85	-273.35	-330825.62	1023	4.66
4.66	5.01	85	-273.35	-330825.62	1023	4.66
4.56	4.89	77	-273.35	-329877.59	1023	4.56
4.56	4.89	77	-273.35	-329877.59	1023	4.56
4.56	4.89	77	-273.35	-329877.59	1023	4.56
4.46	4.78	68	-273.35	-329382.96	1023	4.46
4.46	4.78	68	-273.35	-329382.96	1023	4.46
4.37	4.68	60	-273.35	-328669.21	1023	4.37
4.37	4.68	60	-273.35	-328669.21	1023	4.37
4.37	4.68	60	-273.35	-328669.21	1023	4.37
4.26	4.55	51	-273.35	-327748.50	1023	4.26
4.26	4.55	51	-273.35	-327748.50	1023	4.26
4.26	4.55	51	-273.35	-327748.50	1023	4.26
4.26	4.55	51	-273.35	-327748.50	1023	4.26
4.26	4.55	51	-273.35	-327748.50	1023	4.26
4.26	4.55	51	-273.35	-327748.50	1023	4.26
4.26	4.55	51	-273.35	-327748.50	1023	4.26
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.44	43	-273.35	-326948.21	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.42	49	-273.35	-324726.43	1013	4.13
4.17	4.42	49	-273.35	-324726.43	1013	4.13
4.17	3.95	185	-273.35	-268026.18	839	3.42
4.17	3.95	185	-273.35	-268026.18	839	3.42
4.16	3.53	301	-273.35	-206794.93	713	2.90
4.16	3.45	324	-273.35	-193068.00	687	2.79
4.16	3.45	324	-273.35	-193068.00	687	2.79
4.16	3.45	325	-273.35	-192456.68	684	2.78
4.16	3.45	325	-273.35	-192456.68	684	2.78
4.16	3.44	327	-273.35	-191230.18	683	2.78
4.16	3.43	329	-273.35	-189998.75	683	2.78
4.16	3.43	329	-273.35	-189998.75	683	2.78
4.16	3.41	335	-273.35	-186274.00	675	2.75
4.16	3.38	343	-273.35	-181235.62	664	2.70
4.16	3.38	343	-273.35	-181235.62	664	2.70
4.16	3.35	353	-273.35	-174819.31	655	2.66
4.16	3.35	353	-273.35	-174819.31	655	2.66
4.16	3.33	358	-273.35	-171560.56	652	2.65
4.16	3.32	361	-273.35	-169588.81	647	2.63
4.16	3.32	361	-273.35	-169588.81	647	2.63
4.16	3.29	369	-273.35	-164269.31	636	2.59
4.16	3.29	369	-273.35	-164269.31	636	2.59
4.16	3.28	373	-273.35	-161575.50	633	2.57
4.16	3.28	372	-273.35	-162251.12	637	2.59
4.16	3.28	372	-273.35	-162251.12	637	2.59
4.16	3.29	369	-273.35	-164269.31	639	2.60
4.16	3.29	369	-273.35	-164269.31	639	2.60
4.16	3.30	368	-273.35	-164939.25	638	2.60
4.16	3.32	361	-273.35	-169588.81	646	2.63
4.16	3.32	361	-273.35	-169588.81	646	2.63
4.16	3.33	358	-273.35	-171560.56	652	2.65
4.16	3.33	358	-273.35	-171560.56	652	2.65
4.16	3.34	355	-273.35	-173519.93	655	2.66
4.16	3.34	355	-273.35	-173519.93	652	2.65
4.16	3.34	355	-273.35	-173519.93	652	2.65
4.16	3.33	357	-273.35	-172215.06	650	2.64
4.16	3.35	353	-273.35	-174819.31	657	2.67
4.16	3.35	353	-273.35	-174819.31	657	2.67
4.16	3.37	346	-273.35	-179324.75	664	2.70
4.16	3.37	346	-273.35	-179324.75	664	2.70
4.16	3.38	343	-273.35	-181235.62	664	2.70
4.16	3.38	343	-273.35	-181235.62	664	2.70
4.16	3.38	343	-273.35	-181235.62	664	2.70
4.16	3.39	340	-273.35	-183134.75	670	2.73
4.16	3.39	340	-273.35	-183134.75	670	2.73
4.16	3.41	334	-273.35	-186897.93	678	2.76
4.16	3.44	327	-273.35	-191230.18	682	2.77
4.16	3.44	327	-273.35	-191230.18	682	2.77
4.16	3.54	299	-273.35	-207959.06	713	2.90
4.16	3.54	299	-273.35	-207959.06	713	2.90
4.16	3.67	262	-273.35	-228693.37	758	3.08
4.17	3.82	222	-273.35	-250154.37	801	3.26
4.17	3.82	222	-273.35	-250154.37	801	3.26
4.17	3.89	202	-273.35	-259962.68	821	3.35
4.17	3.89	202	-273.35	-259962.68	821	3.35
4.17	3.87	206	-273.35	-258029.37	818	3.33
4.17	3.88	205	-273.35	-258514.00	820	3.34
4.17	3.88	205	-273.35	-258514.00	820	3.34
4.17	3.92	194	-273.35	-263787.81	834	3.40
4.17	4.03	162	-273.35	-278556.65	870	3.55
4.17	4.03	162	-273.35	-278556.65	870	3.55
4.17	4.20	112	-273.35	-300057.40	933	3.80
4.17	4.20	112	-273.35	-300057.40	933	3.80
4.17	4.44	45	-273.35	-326209.96	1022	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.17	4.45	42	-273.35	-327316.46	1023	4.17
4.26	4.55	51	-273.35	-327748.50	1023	4.26
4.46	4.78	68	-273.35	-329382.96	1023	4.46
4.46	4.78	68	-273.35	-329382.96	1023	4.46
4.66	5.01	85	-273.35	-330825.62	1023	4.66
4.66	5.01	85	-273.35	-330825.62	1023	4.66
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
4.85	5.24	101	-273.35	-332316.12	1023	4.85
5.05	5.47	117	-273.35	-333829.00	1023	5.05
5.05	5.47	117	-273.35	-333829.00	1023	5.05
5.05	5.47	117	-273.35	-333829.00	1023	5.05
5.05	5.47	117	-273.35	-333829.00	1023	5.05
5.05	5.47	117	-273.35	-333829.00	1023	5.05
5.05	5.47	117	-273.35	-333829.00	1023	5.05
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.43	168	-273.35	-321780.75	970	4.89
5.15	5.03	283	-273.35	-283920.71	848	4.27
5.15	5.03	283	-273.35	-283920.71	848	4.27
5.15	4.78	356	-273.35	-256576.37	770	3.88
5.15	4.63	398	-273.35	-239475.93	725	3.65
5.15	4.63	398	-273.35	-239475.93	725	3.65
5.15	4.61	403	-273.35	-237367.43	722	3.64
5.15	4.61	403	-273.35	-237367.43	722	3.64
5.15	4.62	401	-273.35	-238212.75	726	3.66
5.15	4.62	399	-273.35	-239055.50	726	3.66
5.15	4.62	399	-273.35	-239055.50	726	3.66
5.15	4.61	402	-273.35	-237790.43	722	3.64
5.15	4.61	402	-273.35	-237790.43	722	3.64
5.15	4.59	408	-273.35	-235243.00	717	3.61
5.15	4.47	443	-273.35	-219906.06	682	3.44
5.15	4.47	443	-273.35	-219906.06	682	3.44
5.15	4.45	449	-273.35	-217192.12	674	3.39
5.15	4.45	449	-273.35	-217192.12	674	3.39
5.15	4.43	455	-273.35	-214452.37	666	3.35
5.15	4.41	461	-273.35	-211686.62	663	3.34
5.15	4.41	461	-273.35	-211686.62	663	3.34
5.15	4.40	462	-273.35	-211223.00	663	3.34
5.15	4.40	462	-273.35	-211223.00	663	3.34
5.15	4.40	462	-273.35	-211223.00	661	3.33
