vdd	vair_f	air_adc	AirTemp	therm_resistance	AirDirectADC	AirDirectVolt
0.00	0.00	0	0.00	0.00	0	0.00
5.14	5.54	132	-273.35	-332114.75	1018	5.11
5.14	5.54	132	-273.35	-332114.75	1018	5.11
5.15	5.56	132	-273.35	-332505.90	1018	5.13
5.15	5.56	132	-273.35	-332505.90	1018	5.13
5.15	5.56	132	-273.35	-332505.90	1018	5.13
5.15	5.56	132	-273.35	-332505.90	1018	5.13
5.15	5.56	132	-273.35	-332505.90	1018	5.13
5.15	5.56	133	-273.35	-332214.56	1018	5.13
5.15	5.56	133	-273.35	-332214.56	1017	5.12
5.15	5.56	133	-273.35	-332214.56	1017	5.12
5.15	5.55	134	-273.35	-331922.84	1015	5.11
5.15	5.55	134	-273.35	-331922.84	1015	5.11
5.15	5.55	136	-273.35	-331338.28	1013	5.10
5.15	5.55	136	-273.35	-331338.28	1013	5.10
5.15	5.55	136	-273.35	-331338.28	1013	5.10
5.15	5.55	136	-273.35	-331338.28	1013	5.10
5.15	5.55	136	-273.35	-331338.28	1013	5.10
5.15	5.55	136	-273.35	-331338.28	1013	5.10
5.15	5.55	134	-273.35	-331922.84	1015	5.11
5.15	5.55	134	-273.35	-331922.84	1015	5.11
5.15	5.55	134	-273.35	-331922.84	1016	5.12
5.15	5.55	134	-273.35	-331922.84	1016	5.12
5.15	5.55	134	-273.35	-331922.84	1016	5.12
5.15	5.55	135	-273.35	-331630.75	1015	5.11
5.15	5.55	134	-273.35	-331922.84	1014	5.11
5.15	5.55	134	-273.35	-331922.84	1014	5.11
5.15	5.55	135	-273.35	-331630.75	1014	5.11
5.15	5.55	135	-273.35	-331630.75	1014	5.11
5.15	5.55	136	-273.35	-331338.28	1014	5.11
5.15	5.53	140	-273.35	-330164.78	1008	5.08
5.15	5.53	140	-273.35	-330164.78	1008	5.08
5.15	5.55	134	-273.35	-331922.84	1015	5.11
5.15	5.55	134	-273.35	-331922.84	1015	5.11
5.15	5.55	135	-273.35	-331630.75	1015	5.11
5.13	3.23	786	-273.35	-3807.50	259	1.30
5.13	3.23	786	-273.35	-3807.50	259	1.30
5.15	5.50	150	-273.35	-327204.81	997	5.02
5.15	5.50	150	-273.35	-327204.81	997	5.02
5.15	5.50	150	-273.35	-327204.81	996	5.02
5.15	5.49	151	-273.35	-326906.75	995	5.01
5.15	5.49	151	-273.35	-326906.75	995	5.01
5.15	5.49	153	-273.35	-326309.46	993	5.00
5.15	5.49	151	-273.35	-326906.75	995	5.01
5.15	5.49	151	-273.35	-326906.75	995	5.01
5.15	5.52	143	-273.35	-329280.71	1006	5.07
5.15	5.52	143	-273.35	-329280.71	1006	5.07
5.15	5.54	137	-273.35	-331045.46	1012	5.10
5.15	5.54	137	-273.35	-331045.46	1012	5.10
5.15	5.54	137	-273.35	-331045.46	1012	5.10
5.15	5.54	137	-273.35	-331045.46	1011	5.09
5.15	5.54	137	-273.35	-331045.46	1011	5.09
5.15	5.54	137	-273.35	-331045.46	1013	5.10
5.15	5.54	137	-273.35	-331045.46	1011	5.09
5.15	5.54	137	-273.35	-331045.46	1011	5.09
5.15	5.54	137	-273.35	-331045.46	1012	5.10
5.15	5.54	138	-273.35	-330752.28	1010	5.09
5.15	5.54	138	-273.35	-330752.28	1010	5.09
5.15	5.52	144	-273.35	-328985.31	1004	5.06
5.15	5.52	144	-273.35	-328985.31	1004	5.06
5.15	5.50	148	-273.35	-327799.81	999	5.03
5.15	5.49	153	-273.35	-326309.46	993	5.00
5.15	5.49	153	-273.35	-326309.46	993	5.00
5.15	5.47	158	-273.35	-324809.53	988	4.98
5.15	5.47	158	-273.35	-324809.53	988	4.98
5.15	5.45	162	-273.35	-323602.68	982	4.95
5.15	5.44	166	-273.35	-322389.62	977	4.92
5.15	5.44	166	-273.35	-322389.62	977	4.92
5.15	5.43	170	-273.35	-321170.31	973	4.90
5.15	5.41	174	-273.35	-319944.68	969	4.88
5.15	5.41	174	-273.35	-319944.68	969	4.88
5.15	5.42	173	-273.35	-320251.68	970	4.89
5.15	5.42	173	-273.35	-320251.68	970	4.89
5.15	5.41	174	-273.35	-319944.68	969	4.88
5.15	5.41	174	-273.35	-319944.68	969	4.88
5.15	5.41	174	-273.35	-319944.68	969	4.88
5.15	5.41	176	-273.35	-319329.50	968	4.88
5.15	5.41	176	-273.35	-319329.50	968	4.88
5.15	5.41	176	-273.35	-319329.50	967	4.87
5.15	5.39	181	-273.35	-317784.53	961	4.84
5.15	5.39	181	-273.35	-317784.53	961	4.84
5.15	5.37	187	-273.35	-315917.21	954	4.81
5.15	5.37	187	-273.35	-315917.21	954	4.81
5.15	5.35	192	-273.35	-314349.96	949	4.78
5.15	5.33	197	-273.35	-312772.40	943	4.75
5.15	5.33	197	-273.35	-312772.40	943	4.75
5.15	5.31	204	-273.35	-310546.37	936	4.71
5.15	5.31	204	-273.35	-310546.37	936	4.71
5.15	5.29	208	-273.35	-309265.09	931	4.69
5.15	5.28	211	-273.35	-308299.68	928	4.67
5.15	5.28	211	-273.35	-308299.68	928	4.67
5.15	5.27	216	-273.35	-306682.06	924	4.65
5.15	5.24	224	-273.35	-304071.46	912	4.59
5.15	5.24	224	-273.35	-304071.46	912	4.59
5.15	5.08	270	-273.35	-288501.56	862	4.34
5.15	5.08	270	-273.35	-288501.56	862	4.34
5.15	4.93	313	-273.35	-273026.65	818	4.12
5.15	4.81	346	-273.35	-260493.87	783	3.94
5.15	4.81	346	-273.35	-260493.87	783	3.94
5.15	4.71	376	-273.35	-248566.50	752	3.79
5.15	4.71	376	-273.35	-248566.50	752	3.79
5.15	4.60	405	-273.35	-236519.62	720	3.63
5.15	4.51	431	-273.35	-225258.25	694	3.50
5.15	4.51	431	-273.35	-225258.25	694	3.50
5.15	4.45	450	-273.35	-216737.31	676	3.40
5.15	4.45	450	-273.35	-216737.31	676	3.40
5.15	4.37	472	-273.35	-206546.81	653	3.29
5.15	4.30	491	-273.35	-197452.56	631	3.18
5.15	4.30	491	-273.35	-197452.56	631	3.18
5.15	4.29	496	-273.35	-195012.37	627	3.16
5.15	4.29	496	-273.35	-195012.37	627	3.16
5.15	4.29	496	-273.35	-195012.37	630	3.17
5.15	4.30	493	-273.35	-196478.81	632	3.18
5.15	4.30	493	-273.35	-196478.81	632	3.18
5.15	4.30	493	-273.35	-196478.81	630	3.17
5.15	4.28	497	-273.35	-194521.93	626	3.15
5.15	4.28	497	-273.35	-194521.93	626	3.15
5.15	4.28	498	-273.35	-194030.68	627	3.16
5.15	4.28	498	-273.35	-194030.68	627	3.16
5.15	4.29	494	-273.35	-195990.81	631	3.18
5.15	4.30	493	-273.35	-196478.81	629	3.17
5.15	4.30	493	-273.35	-196478.81	629	3.17
5.15	4.29	496	-273.35	-195012.37	627	3.16
5.15	4.29	496	-273.35	-195012.37	627	3.16
5.15	4.29	496	-273.35	-195012.37	629	3.17
5.15	4.29	494	-273.35	-195990.81	631	3.18
5.15	4.29	494	-273.35	-195990.81	631	3.18
5.15	4.30	492	-273.35	-196966.12	630	3.17
5.15	4.30	492	-273.35	-196966.12	630	3.17
5.15	4.29	494	-273.35	-195990.81	628	3.16
5.15	4.30	492	-273.35	-196966.12	633	3.19
5.15	4.30	492	-273.35	-196966.12	633	3.19
5.15	4.35	478	-273.35	-203705.00	648	3.26
5.15	4.35	478	-273.35	-203705.00	648	3.26
5.15	4.39	465	-273.35	-209828.00	659	3.32
5.15	4.43	455	-273.35	-214452.37	669	3.37
5.15	4.43	455	-273.35	-214452.37	669	3.37
5.15	4.47	443	-273.35	-219906.06	684	3.45
5.15	4.54	422	-273.35	-229207.50	706	3.56
5.15	4.54	422	-273.35	-229207.50	706	3.56
5.15	4.60	405	-273.35	-236519.62	722	3.64
5.15	4.60	405	-273.35	-236519.62	722	3.64
5.15	4.64	396	-273.35	-240314.81	731	3.68
5.15	4.68	382	-273.35	-246116.87	747	3.76
5.15	4.68	382	-273.35	-246116.87	747	3.76
5.15	4.75	363	-273.35	-253799.81	767	3.86
5.15	4.75	363	-273.35	-253799.81	767	3.86
5.15	4.82	342	-273.35	-262044.93	788	3.97
5.15	4.88	327	-273.35	-267782.25	802	4.04
5.15	4.88	327	-273.35	-267782.25	802	4.04
5.15	4.93	312	-273.35	-273397.25	820	4.13
5.15	4.93	312	-273.35	-273397.25	820	4.13
5.15	4.97	299	-273.35	-278167.81	834	4.20
5.15	4.99	295	-273.35	-279618.12	837	4.22
5.15	4.99	295	-273.35	-279618.12	837	4.22
5.15	4.98	297	-273.35	-278894.00	834	4.20
5.15	4.98	297	-273.35	-278894.00	834	4.20
5.15	4.98	297	-273.35	-278894.00	835	4.21
5.15	4.99	295	-273.35	-279618.12	839	4.23
5.15	4.99	295	-273.35	-279618.12	839	4.23
5.15	5.00	293	-273.35	-280340.25	840	4.23
5.15	5.03	282	-273.35	-284276.03	850	4.28
5.15	5.03	282	-273.35	-284276.03	850	4.28
5.15	5.08	269	-273.35	-288850.53	865	4.36
5.15	5.08	269	-273.35	-288850.53	865	4.36
5.15	5.10	262	-273.35	-291279.90	875	4.41
5.15	5.16	246	-273.35	-296746.21	890	4.48
5.15	5.16	246	-273.35	-296746.21	890	4.48
5.15	5.21	232	-273.35	-301432.78	905	4.56
5.15	5.21	232	-273.35	-301432.78	905	4.56
5.15	5.23	227	-273.35	-303085.28	910	4.58
5.15	5.24	223	-273.35	-304399.31	915	4.61
5.15	5.24	223	-273.35	-304399.31	915	4.61
5.15	5.25	220	-273.35	-305380.25	919	4.63
5.15	5.25	220	-273.35	-305380.25	919	4.63
5.15	5.26	217	-273.35	-306357.25	921	4.64
5.15	5.27	216	-273.35	-306682.06	922	4.64
5.15	5.27	216	-273.35	-306682.06	922	4.64
5.15	5.27	214	-273.35	-307330.43	926	4.66
5.15	5.27	214	-273.35	-307330.43	926	4.66
5.15	5.28	211	-273.35	-308299.68	928	4.67
5.15	5.29	209	-273.35	-308943.71	929	4.68
5.15	5.29	209	-273.35	-308943.71	929	4.68
5.15	5.29	209	-273.35	-308943.71	930	4.68
5.15	5.30	205	-273.35	-310226.68	935	4.71
5.15	5.30	205	-273.35	-310226.68	935	4.71
5.15	5.32	201	-273.35	-311502.90	939	4.73
5.15	5.32	201	-273.35	-311502.90	939	4.73
5.15	5.33	198	-273.35	-312455.65	942	4.74
5.15	5.34	196	-273.35	-313088.75	944	4.75
5.15	5.34	196	-273.35	-313088.75	944	4.75
5.15	5.35	193	-273.35	-314035.28	948	4.77
5.15	5.35	193	-273.35	-314035.28	948	4.77
5.15	5.36	190	-273.35	-314978.09	952	4.80
5.15	5.37	186	-273.35	-316229.43	955	4.81
5.15	5.37	186	-273.35	-316229.43	955	4.81
5.15	5.38	184	-273.35	-316852.71	957	4.82
5.15	5.38	184	-273.35	-316852.71	957	4.82
5.15	5.38	182	-273.35	-317474.31	961	4.84
5.15	5.40	178	-273.35	-318712.71	965	4.86
5.15	5.40	178	-273.35	-318712.71	965	4.86
5.15	5.41	176	-273.35	-319329.50	967	4.87
5.15	5.41	176	-273.35	-319329.50	967	4.87
5.15	5.41	174	-273.35	-319944.68	969	4.88
5.15	5.42	172	-273.35	-320558.28	971	4.89
5.15	5.42	172	-273.35	-320558.28	971	4.89
5.15	5.44	167	-273.35	-322085.40	977	4.92
5.15	5.45	164	-273.35	-322996.93	980	4.94
5.15	5.45	164	-273.35	-322996.93	980	4.94
5.15	5.46	161	-273.35	-323904.96	983	4.95
5.15	5.46	161	-273.35	-323904.96	983	4.95
5.15	5.46	159	-273.35	-324508.40	986	4.97
5.15	5.48	154	-273.35	-326010.21	992	5.00
5.15	5.48	154	-273.35	-326010.21	992	5.00
5.15	5.49	152	-273.35	-326608.31	994	5.01
5.15	5.49	152	-273.35	-326608.31	994	5.01
5.15	5.50	148	-273.35	-327799.81	998	5.03
5.15	5.50	148	-273.35	-327799.81	998	5.03
5.15	5.50	148	-273.35	-327799.81	998	5.03
5.15	5.50	148	-273.35	-327799.81	999	5.03
5.15	5.50	148	-273.35	-327799.81	999	5.03
5.15	5.51	146	-273.35	-328393.31	1001	5.04
5.15	5.50	148	-273.35	-327799.81	998	5.03
5.15	5.50	148	-273.35	-327799.81	998	5.03
5.15	5.50	148	-273.35	-327799.81	999	5.03
5.15	5.50	148	-273.35	-327799.81	999	5.03
5.15	5.51	145	-273.35	-328689.50	1004	5.06
5.15	5.53	139	-273.35	-330458.71	1010	5.09
5.15	5.53	139	-273.35	-330458.71	1010	5.09
5.15	5.53	139	-273.35	-330458.71	1010	5.09
5.15	5.53	140	-273.35	-330164.78	1007	5.07
5.15	5.53	140	-273.35	-330164.78	1007	5.07
5.15	5.53	141	-273.35	-329870.46	1007	5.07
5.15	5.53	141	-273.35	-329870.46	1007	5.07
5.15	5.54	138	-273.35	-330752.28	1010	5.09
5.15	5.53	139	-273.35	-330458.71	1009	5.08
5.15	5.53	139	-273.35	-330458.71	1009	5.08
5.15	5.54	138	-273.35	-330752.28	1010	5.09
5.15	5.52	142	-273.35	-329575.78	1007	5.07
5.15	5.52	142	-273.35	-329575.78	1007	5.07
5.15	5.51	147	-273.35	-328096.75	1000	5.04
5.15	5.51	147	-273.35	-328096.75	1000	5.04
5.15	5.49	153	-273.35	-326309.46	992	5.00
5.15	5.47	158	-273.35	-324809.53	986	4.97
5.15	5.47	158	-273.35	-324809.53	986	4.97
5.15	5.44	165	-273.35	-322693.46	980	4.94
5.15	5.44	165	-273.35	-322693.46	980	4.94
5.15	5.43	169	-273.35	-321475.71	975	4.91
5.15	5.42	173	-273.35	-320251.68	970	4.89
5.15	5.42	173	-273.35	-320251.68	970	4.89
5.15	5.41	174	-273.35	-319944.68	969	4.88
5.15	5.41	174	-273.35	-319944.68	969	4.88
5.15	5.42	173	-273.35	-320251.68	970	4.89
5.15	5.42	173	-273.35	-320251.68	971	4.89
5.15	5.42	173	-273.35	-320251.68	971	4.89
5.15	5.41	174	-273.35	-319944.68	970	4.89
5.15	5.40	177	-273.35	-319021.31	965	4.86
5.15	5.40	177	-273.35	-319021.31	965	4.86
5.15	5.37	185	-273.35	-316541.25	957	4.82
5.15	5.37	185	-273.35	-316541.25	957	4.82
5.15	5.35	192	-273.35	-314349.96	948	4.77
5.15	5.33	198	-273.35	-312455.65	942	4.74
5.15	5.33	198	-273.35	-312455.65	942	4.74
5.15	5.31	204	-273.35	-310546.37	935	4.71
5.15	5.31	204	-273.35	-310546.37	935	4.71
5.15	5.29	210	-273.35	-308621.90	928	4.67
5.15	5.27	215	-273.35	-307006.50	924	4.65
5.15	5.27	215	-273.35	-307006.50	924	4.65
5.15	5.25	219	-273.35	-305706.34	919	4.63
5.15	5.25	219	-273.35	-305706.34	919	4.63
5.15	5.22	229	-273.35	-302425.62	907	4.57
5.15	5.04	280	-273.35	-284985.15	851	4.29
5.15	5.04	280	-273.35	-284985.15	851	4.29
5.15	4.88	325	-273.35	-268537.87	805	4.05
5.15	4.88	325	-273.35	-268537.87	805	4.05
5.15	4.74	366	-273.35	-252601.06	762	3.84
5.15	4.62	401	-273.35	-238212.75	725	3.65
5.15	4.62	401	-273.35	-238212.75	725	3.65
5.15	4.51	431	-273.35	-225258.25	692	3.49
5.15	4.42	458	-273.35	-213072.81	666	3.35
5.15	4.42	458	-273.35	-213072.81	666	3.35
5.15	4.34	481	-273.35	-202273.75	643	3.24
5.15	4.34	481	-273.35	-202273.75	643	3.24
5.15	4.30	492	-273.35	-196966.12	632	3.18
5.15	4.29	494	-273.35	-195990.81	628	3.16
5.15	4.29	494	-273.35	-195990.81	628	3.16
5.15	4.29	496	-273.35	-195012.37	627	3.16
5.15	4.29	496	-273.35	-195012.37	627	3.16
5.15	4.29	496	-273.35	-195012.37	629	3.17
5.15	4.30	493	-273.35	-196478.81	631	3.18
5.15	4.30	493	-273.35	-196478.81	631	3.18
5.15	4.29	494	-273.35	-195990.81	628	3.16
5.15	4.29	494	-273.35	-195990.81	628	3.16
5.15	4.29	496	-273.35	-195012.37	627	3.16
5.15	4.29	495	-273.35	-195502.00	630	3.17
5.15	4.29	495	-273.35	-195502.00	630	3.17
5.15	4.30	493	-273.35	-196478.81	632	3.18
5.15	4.30	493	-273.35	-196478.81	632	3.18
5.15	4.30	491	-273.35	-197452.56	631	3.18
5.15	4.38	468	-273.35	-208426.25	657	3.31
5.15	4.38	468	-273.35	-208426.25	657	3.31
5.15	4.49	438	-273.35	-222148.31	690	3.48
5.15	4.59	410	-273.35	-234388.68	718	3.62
5.15	4.59	410	-273.35	-234388.68	718	3.62
5.15	4.66	388	-273.35	-243645.25	738	3.72
5.15	4.66	388	-273.35	-243645.25	738	3.72
5.15	4.73	369	-273.35	-251396.93	760	3.83
5.15	4.82	342	-273.35	-262044.93	789	3.97
5.15	4.82	342	-273.35	-262044.93	789	3.97
5.15	4.89	323	-273.35	-269291.37	808	4.07
5.15	4.89	323	-273.35	-269291.37	808	4.07
5.15	4.89	323	-273.35	-269291.37	807	4.06
5.15	4.88	325	-273.35	-268537.87	805	4.05
5.15	4.88	325	-273.35	-268537.87	805	4.05
5.15	4.93	313	-273.35	-273026.65	820	4.13
5.15	4.93	313	-273.35	-273026.65	820	4.13
5.15	5.09	265	-273.35	-290241.59	871	4.39
5.15	5.23	225	-273.35	-303743.18	912	4.59
5.15	5.23	225	-273.35	-303743.18	912	4.59
5.15	5.26	218	-273.35	-306032.03	920	4.63
5.15	5.26	218	-273.35	-306032.03	920	4.63
5.15	5.28	212	-273.35	-307977.03	927	4.67
5.15	5.30	206	-273.35	-309906.59	934	4.70
5.15	5.30	206	-273.35	-309906.59	934	4.70
5.15	5.32	200	-273.35	-311820.90	940	4.73
5.15	5.34	196	-273.35	-313088.75	944	4.75
5.15	5.34	196	-273.35	-313088.75	944	4.75
5.15	5.35	191	-273.35	-314664.21	950	4.79
5.15	5.35	191	-273.35	-314664.21	950	4.79
5.15	5.38	184	-273.35	-316852.71	958	4.83
5.15	5.40	178	-273.35	-318712.71	964	4.86
5.15	5.40	178	-273.35	-318712.71	964	4.86
5.15	5.41	175	-273.35	-319637.28	968	4.88
5.15	5.41	175	-273.35	-319637.28	968	4.88
5.15	5.42	171	-273.35	-320864.50	972	4.90
5.15	5.43	168	-273.35	-321780.75	976	4.92
5.15	5.43	168	-273.35	-321780.75	976	4.92
5.15	5.45	164	-273.35	-322996.93	980	4.94
5.15	5.45	164	-273.35	-322996.93	980	4.94
5.15	5.46	161	-273.35	-323904.96	983	4.95
5.15	5.47	157	-273.35	-325110.28	989	4.98
5.15	5.47	157	-273.35	-325110.28	989	4.98
5.15	5.49	153	-273.35	-326309.46	994	5.01
5.15	5.49	153	-273.35	-326309.46	994	5.01
5.15	5.51	147	-273.35	-328096.75	1000	5.04
5.15	5.52	143	-273.35	-329280.71	1005	5.06
5.15	5.52	143	-273.35	-329280.71	1005	5.06
5.15	5.53	139	-273.35	-330458.71	1009	5.08
5.15	5.54	138	-273.35	-330752.28	1010	5.09
5.15	5.54	138	-273.35	-330752.28	1010	5.09
5.15	5.53	140	-273.35	-330164.78	1008	5.08
5.15	5.53	140	-273.35	-330164.78	1008	5.08
5.15	5.54	138	-273.35	-330752.28	1010	5.09
5.15	5.53	139	-273.35	-330458.71	1009	5.08
5.15	5.53	139	-273.35	-330458.71	1009	5.08
5.15	5.53	139	-273.35	-330458.71	1009	5.08
5.15	5.53	139	-273.35	-330458.71	1009	5.08
5.15	5.54	138	-273.35	-330752.28	1010	5.09
