vdd	vair_f	air_adc	AirTemp	therm_resistance	AirDirectADC	AirDirectVolt
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	130	-273.35	-333087.50	1020	5.14
5.15	5.57	130	-273.35	-333087.50	1020	5.14
5.15	5.57	130	-273.35	-333087.50	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	130	-273.35	-333087.50	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1021	5.14
5.15	5.57	128	-273.35	-333667.65	1021	5.14
5.15	5.57	128	-273.35	-333667.65	1021	5.14
5.15	5.57	129	-273.35	-333377.75	1020	5.14
5.15	5.57	130	-273.35	-333087.50	1019	5.13
5.15	5.57	130	-273.35	-333087.50	1019	5.13
5.15	5.57	130	-273.35	-333087.50	1020	5.14
5.15	5.57	130	-273.35	-333087.50	1020	5.14
5.15	5.57	128	-273.35	-333667.65	1021	5.14
5.15	5.57	129	-273.35	-333377.75	1019	5.13
5.15	5.57	129	-273.35	-333377.75	1019	5.13
5.15	5.57	130	-273.35	-333087.50	1019	5.13
5.15	5.57	130	-273.35	-333087.50	1019	5.13
5.15	5.57	130	-273.35	-333087.50	1020	5.14
5.15	5.57	129	-273.35	-333377.75	1022	5.15
5.15	5.57	129	-273.35	-333377.75	1022	5.15
5.15	5.57	128	-273.35	-333667.65	1021	5.14
5.15	5.57	128	-273.35	-333667.65	1021	5.14
5.15	5.57	128	-273.35	-333667.65	1021	5.14
5.15	5.58	127	-273.35	-333957.18	1023	5.15
5.15	5.58	127	-273.35	-333957.18	1023	5.15
5.15	5.58	126	-273.35	-334246.34	1023	5.15
5.15	5.58	126	-273.35	-334246.34	1023	5.15
5.15	5.58	126	-273.35	-334246.34	1023	5.15
5.15	5.58	126	-273.35	-334246.34	1023	5.15
5.15	5.58	126	-273.35	-334246.34	1023	5.15
5.15	5.58	126	-273.35	-334246.34	1023	5.15
5.15	5.58	126	-273.35	-334246.34	1023	5.15
5.15	5.58	126	-273.35	-334246.34	1023	5.15
5.15	5.58	125	-273.35	-334535.12	1023	5.15
5.15	5.58	125	-273.35	-334535.12	1023	5.15
5.15	5.58	125	-273.35	-334535.12	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
5.15	5.59	124	-273.35	-334823.56	1023	5.15
