vdd	vair_f	air_adc	AirTemp	therm_resistance	AirDirectADC	AirDirectVolt
0.00	0.00	0	0.00	0.00	0	0.00
2.19	1.57	43	-273.35	-100859.87	450	0.96
2.19	1.57	43	-273.35	-100859.87	450	0.96
2.18	1.57	43	-273.35	-99382.81	446	0.95
2.18	1.57	43	-273.35	-99382.81	446	0.95
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	453	0.97
2.18	1.57	43	-273.35	-99382.81	453	0.97
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	447	0.95
2.18	1.57	43	-273.35	-99382.81	449	0.96
2.18	1.57	43	-273.35	-99382.81	449	0.96
2.19	1.57	43	-273.35	-100122.06	453	0.97
2.19	1.57	43	-273.35	-100122.06	453	0.97
2.18	1.57	43	-273.35	-99382.81	451	0.96
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	448	0.96
2.18	1.57	43	-273.35	-99382.81	448	0.96
2.18	1.57	43	-273.35	-99382.81	453	0.97
2.18	1.57	43	-273.35	-99382.81	453	0.97
2.18	1.57	43	-273.35	-99382.81	452	0.97
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	444	0.95
2.18	1.57	43	-273.35	-99382.81	444	0.95
2.18	1.57	43	-273.35	-99382.81	457	0.98
2.18	1.57	43	-273.35	-99382.81	456	0.97
2.18	1.57	43	-273.35	-99382.81	456	0.97
2.19	1.57	43	-273.35	-100122.06	443	0.95
2.19	1.57	43	-273.35	-100122.06	443	0.95
2.18	1.57	43	-273.35	-99382.81	443	0.95
2.19	1.57	43	-273.35	-100122.06	456	0.97
2.19	1.57	43	-273.35	-100122.06	456	0.97
2.18	1.57	43	-273.35	-99382.81	456	0.97
2.18	1.57	43	-273.35	-99382.81	456	0.97
2.18	1.57	43	-273.35	-99382.81	445	0.95
2.18	1.57	43	-273.35	-99382.81	443	0.95
2.18	1.57	43	-273.35	-99382.81	443	0.95
2.19	1.57	43	-273.35	-100122.06	454	0.97
2.19	1.57	43	-273.35	-100122.06	454	0.97
2.18	1.57	43	-273.35	-99382.81	457	0.98
2.18	1.57	43	-273.35	-99382.81	457	0.98
2.18	1.57	43	-273.35	-99382.81	446	0.95
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	453	0.97
2.18	1.57	43	-273.35	-99382.81	453	0.97
2.18	1.57	43	-273.35	-99382.81	457	0.98
2.19	1.57	43	-273.35	-100122.06	447	0.96
2.19	1.57	43	-273.35	-100122.06	447	0.96
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	451	0.96
2.18	1.57	43	-273.35	-99382.81	458	0.98
2.18	1.57	43	-273.35	-99382.81	458	0.98
2.18	1.57	43	-273.35	-99382.81	448	0.96
2.18	1.57	43	-273.35	-99382.81	448	0.96
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.19	1.57	43	-273.35	-100122.06	450	0.96
2.18	1.57	43	-273.35	-99382.81	458	0.98
2.18	1.57	43	-273.35	-99382.81	458	0.98
