vdd	vair_f	air_adc	AirTemp	therm_resistance	AirDirectADC	AirDirectVolt
0.00	0.00	0	0.00	0.00	0	0.00
2.19	1.57	43	-273.35	-100859.87	449	0.96
2.19	1.57	43	-273.35	-100859.87	449	0.96
2.18	1.57	43	-273.35	-99382.81	449	0.96
2.18	1.57	43	-273.35	-99382.81	449	0.96
2.18	1.57	43	-273.35	-99382.81	443	0.95
2.18	1.57	43	-273.35	-99382.81	443	0.95
2.18	1.57	43	-273.35	-99382.81	443	0.95
2.18	1.57	43	-273.35	-99382.81	448	0.96
2.18	1.57	43	-273.35	-99382.81	448	0.96
2.18	1.57	43	-273.35	-99382.81	449	0.96
2.18	1.57	43	-273.35	-99382.81	444	0.95
2.18	1.57	43	-273.35	-99382.81	444	0.95
2.18	1.57	43	-273.35	-99382.81	443	0.95
2.18	1.57	43	-273.35	-99382.81	443	0.95
2.18	1.57	43	-273.35	-99382.81	448	0.96
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	444	0.95
2.18	1.57	43	-273.35	-99382.81	444	0.95
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	447	0.95
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	445	0.95
2.18	1.57	43	-273.35	-99382.81	445	0.95
2.18	1.57	43	-273.35	-99382.81	443	0.95
2.18	1.57	43	-273.35	-99382.81	447	0.95
2.18	1.57	43	-273.35	-99382.81	447	0.95
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	446	0.95
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	446	0.95
2.18	1.57	43	-273.35	-99382.81	446	0.95
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	446	0.95
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	446	0.95
2.18	1.57	43	-273.35	-99382.81	446	0.95
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	447	0.95
2.18	1.57	43	-273.35	-99382.81	447	0.95
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	445	0.95
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	447	0.95
2.18	1.57	43	-273.35	-99382.81	447	0.95
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	442	0.94
2.18	1.57	43	-273.35	-99382.81	445	0.95
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	450	0.96
2.18	1.57	43	-273.35	-99382.81	448	0.96
2.18	1.57	43	-273.35	-99382.81	448	0.96
2.18	1.57	43	-273.35	-99382.81	443	0.95
2.18	1.57	43	-273.35	-99382.81	444	0.95
2.18	1.57	43	-273.35	-99382.81	444	0.95
2.38	1.59	117	-273.35	-48927.06	442	1.03
2.38	1.59	117	-273.35	-48927.06	442	1.03
2.38	1.59	117	-273.35	-48927.06	448	1.04
2.48	1.61	154	-273.35	-24496.00	442	1.07
2.48	1.61	154	-273.35	-24496.00	442	1.07
2.48	1.61	154	-273.35	-24496.00	443	1.07
2.48	1.61	154	-273.35	-24496.00	443	1.07
2.48	1.61	154	-273.35	-24496.00	450	1.09
2.58	1.62	191	-273.35	-50.87	447	1.13
2.58	1.62	191	-273.35	-50.87	447	1.13
2.77	1.65	261	27.63	41046.37	441	1.19
2.77	1.65	261	27.63	41046.37	441	1.19
2.87	1.68	295	20.17	58459.12	443	1.24
2.87	1.68	295	20.17	58459.12	443	1.24
3.16	1.83	373	17.37	67028.81	446	1.38
3.16	1.84	370	18.92	62113.75	446	1.38
3.16	1.84	370	18.92	62113.75	446	1.38
3.16	1.83	372	17.87	65384.19	442	1.37
3.16	1.83	372	17.87	65384.19	442	1.37
3.36	1.96	417	19.97	59030.69	442	1.45
3.36	1.96	417	19.97	59030.69	442	1.45
3.46	2.04	436	23.14	50699.25	445	1.51
3.55	2.12	453	27.01	42234.12	445	1.55
3.55	2.12	453	27.01	42234.12	445	1.55
3.55	2.12	454	26.32	43619.62	442	1.54
3.55	2.12	454	26.32	43619.62	442	1.54
3.86	2.34	513	38.07	25563.87	438	1.65
3.86	2.34	513	38.07	25563.87	438	1.65
4.05	2.53	539	101.64	2279.75	444	1.76
