vdd	vair_f	air_adc	AirTemp	therm_resistance	AirDirectADC	AirDirectVolt
0.00	0.00	0	0.00	0.00	0	0.00
5.14	3.66	670	-273.35	-93845.93	448	2.25
5.14	3.66	670	-273.35	-93845.93	448	2.25
5.14	3.66	670	-273.35	-93845.93	446	2.24
5.14	3.66	670	-273.35	-93845.93	446	2.24
5.14	3.65	672	-273.35	-92501.68	445	2.24
5.14	3.65	672	-273.35	-92501.68	447	2.25
5.14	3.65	672	-273.35	-92501.68	447	2.25
5.14	3.66	670	-273.35	-93845.93	448	2.25
5.14	3.66	670	-273.35	-93845.93	448	2.25
5.14	3.66	670	-273.35	-93845.93	446	2.24
5.14	3.65	672	-273.35	-92501.68	445	2.24
5.14	3.65	672	-273.35	-92501.68	445	2.24
5.14	3.65	672	-273.35	-92501.68	446	2.24
5.14	3.65	672	-273.35	-92501.68	446	2.24
5.14	3.66	670	-273.35	-93845.93	448	2.25
5.14	3.66	670	-273.35	-93845.93	447	2.25
5.14	3.66	670	-273.35	-93845.93	447	2.25
5.14	3.65	673	-273.35	-91827.56	442	2.22
5.14	3.65	673	-273.35	-91827.56	442	2.22
5.14	3.64	674	-273.35	-91152.25	445	2.24
5.14	3.66	669	-273.35	-94516.12	451	2.27
5.14	3.66	669	-273.35	-94516.12	451	2.27
5.14	3.67	668	-273.35	-95185.06	448	2.25
5.14	3.67	668	-273.35	-95185.06	448	2.25
5.14	3.65	672	-273.35	-92501.68	442	2.22
5.14	3.64	675	-273.35	-90475.50	444	2.23
5.14	3.64	675	-273.35	-90475.50	444	2.23
5.14	3.66	670	-273.35	-93845.93	451	2.27
5.14	3.66	670	-273.35	-93845.93	451	2.27
5.14	3.67	667	-273.35	-95852.68	449	2.26
5.14	3.65	672	-273.35	-92501.68	443	2.23
5.14	3.65	672	-273.35	-92501.68	443	2.23
5.14	3.64	675	-273.35	-90475.50	444	2.23
5.14	3.64	675	-273.35	-90475.50	444	2.23
5.14	3.65	671	-273.35	-93174.43	450	2.26
5.14	3.67	667	-273.35	-95852.68	450	2.26
5.14	3.67	667	-273.35	-95852.68	450	2.26
5.14	3.65	671	-273.35	-93174.43	444	2.23
5.14	3.65	671	-273.35	-93174.43	444	2.23
5.14	3.64	674	-273.35	-91152.25	443	2.23
5.14	3.65	671	-273.35	-93174.43	449	2.26
5.14	3.65	671	-273.35	-93174.43	449	2.26
5.14	3.67	667	-273.35	-95852.68	450	2.26
5.14	3.67	667	-273.35	-95852.68	450	2.26
5.14	3.65	671	-273.35	-93174.43	444	2.23
5.14	3.64	676	-273.35	-89797.50	441	2.22
5.14	3.64	676	-273.35	-89797.50	441	2.22
5.14	3.65	673	-273.35	-91827.56	447	2.25
5.14	3.65	673	-273.35	-91827.56	447	2.25
5.14	3.66	669	-273.35	-94516.12	448	2.25
5.14	3.65	671	-273.35	-93174.43	443	2.23
5.14	3.65	671	-273.35	-93174.43	443	2.23
5.14	3.64	676	-273.35	-89797.50	441	2.22
5.14	3.64	676	-273.35	-89797.50	441	2.22
5.14	3.65	673	-273.35	-91827.56	447	2.25
5.14	3.67	668	-273.35	-95185.06	450	2.26
5.14	3.67	668	-273.35	-95185.06	450	2.26
5.14	3.66	669	-273.35	-94516.12	446	2.24
5.14	3.66	669	-273.35	-94516.12	446	2.24
5.14	3.64	674	-273.35	-91152.25	442	2.22
5.14	3.65	673	-273.35	-91827.56	447	2.25
5.14	3.65	673	-273.35	-91827.56	447	2.25
5.14	3.67	668	-273.35	-95185.06	451	2.27
5.14	3.67	668	-273.35	-95185.06	451	2.27
5.14	3.67	668	-273.35	-95185.06	446	2.24
5.14	3.65	673	-273.35	-91827.56	442	2.22
5.14	3.65	673	-273.35	-91827.56	442	2.22
5.14	3.65	673	-273.35	-91827.56	446	2.24
5.14	3.65	673	-273.35	-91827.56	446	2.24
5.14	3.67	668	-273.35	-95185.06	451	2.27
5.14	3.67	668	-273.35	-95185.06	447	2.25
5.14	3.67	668	-273.35	-95185.06	447	2.25
5.14	3.65	673	-273.35	-91827.56	442	2.22
5.14	3.65	673	-273.35	-91827.56	442	2.22
5.14	3.64	674	-273.35	-91152.25	445	2.24
5.14	3.66	669	-273.35	-94516.12	451	2.27
5.14	3.66	669	-273.35	-94516.12	451	2.27
5.14	3.67	668	-273.35	-95185.06	448	2.25
5.14	3.67	668	-273.35	-95185.06	448	2.25
5.14	3.65	672	-273.35	-92501.68	442	2.22
5.14	3.64	674	-273.35	-91152.25	444	2.23
5.14	3.64	674	-273.35	-91152.25	444	2.23
5.14	3.66	670	-273.35	-93845.93	450	2.26
5.14	3.66	670	-273.35	-93845.93	450	2.26
5.14	3.67	667	-273.35	-95852.68	448	2.25
5.14	3.65	672	-273.35	-92501.68	442	2.22
5.14	3.65	672	-273.35	-92501.68	442	2.22
5.14	3.64	675	-273.35	-90475.50	443	2.23
5.14	3.64	675	-273.35	-90475.50	443	2.23
5.14	3.65	671	-273.35	-93174.43	449	2.26
