vdd	vair_f	air_adc	AirTemp	therm_resistance	AirDirectADC	AirDirectVolt
0.00	0.00	0	0.00	0.00	0	0.00
5.14	3.57	695	-273.35	-76663.68	422	2.12
5.14	3.57	695	-273.35	-76663.68	422	2.12
5.14	3.57	695	-273.35	-76663.68	421	2.12
5.14	3.57	695	-273.35	-76663.68	421	2.12
5.14	3.57	696	-273.35	-75958.87	418	2.10
5.14	3.55	701	-273.35	-72413.93	414	2.08
5.14	3.55	701	-273.35	-72413.93	414	2.08
5.14	3.56	697	-273.35	-75252.62	419	2.11
5.14	3.56	697	-273.35	-75252.62	419	2.11
5.14	3.57	695	-273.35	-76663.68	421	2.12
5.14	3.57	694	-273.35	-77367.12	421	2.12
5.14	3.57	694	-273.35	-77367.12	421	2.12
5.14	3.57	696	-273.35	-75958.87	419	2.11
5.14	3.57	696	-273.35	-75958.87	419	2.11
5.14	3.57	696	-273.35	-75958.87	422	2.12
5.14	3.58	693	-273.35	-78069.18	423	2.13
5.14	3.58	693	-273.35	-78069.18	423	2.13
5.14	3.60	687	-273.35	-82252.87	428	2.15
5.14	3.60	687	-273.35	-82252.87	428	2.15
5.14	3.60	687	-273.35	-82252.87	428	2.15
5.14	3.60	686	-273.35	-82945.43	431	2.17
5.14	3.60	686	-273.35	-82945.43	431	2.17
5.14	3.61	683	-273.35	-85015.00	435	2.19
5.14	3.61	683	-273.35	-85015.00	435	2.19
5.14	3.63	679	-273.35	-87755.75	436	2.19
5.14	3.56	698	-273.35	-74545.06	414	2.08
5.14	3.56	698	-273.35	-74545.06	414	2.08
5.14	3.64	676	-273.35	-89797.50	442	2.22
5.14	3.64	676	-273.35	-89797.50	442	2.22
5.14	3.65	671	-273.35	-93174.43	448	2.25
5.14	3.67	668	-273.35	-95185.06	447	2.25
5.14	3.67	668	-273.35	-95185.06	447	2.25
5.14	3.65	672	-273.35	-92501.68	441	2.22
5.14	3.65	672	-273.35	-92501.68	441	2.22
5.14	3.64	676	-273.35	-89797.50	441	2.22
5.14	3.65	672	-273.35	-92501.68	448	2.25
5.14	3.65	672	-273.35	-92501.68	448	2.25
5.14	3.66	670	-273.35	-93845.93	447	2.25
5.14	3.66	670	-273.35	-93845.93	447	2.25
5.14	3.65	673	-273.35	-91827.56	439	2.21
5.14	3.56	697	-273.35	-75252.62	418	2.10
5.14	3.56	697	-273.35	-75252.62	418	2.10
5.14	3.58	692	-273.35	-78769.87	427	2.15
5.14	3.58	692	-273.35	-78769.87	427	2.15
5.14	3.58	691	-273.35	-79469.18	424	2.13
5.14	3.58	692	-273.35	-78769.87	420	2.11
5.14	3.58	692	-273.35	-78769.87	420	2.11
5.14	3.57	696	-273.35	-75958.87	419	2.11
5.14	3.57	696	-273.35	-75958.87	419	2.11
5.14	3.57	696	-273.35	-75958.87	423	2.13
5.14	3.60	688	-273.35	-81559.00	427	2.15
5.14	3.60	688	-273.35	-81559.00	427	2.15
5.14	3.59	690	-273.35	-80167.12	423	2.13
5.14	3.59	690	-273.35	-80167.12	423	2.13
5.14	3.57	695	-273.35	-76663.68	420	2.11
5.14	3.58	693	-273.35	-78069.18	425	2.14
5.14	3.58	693	-273.35	-78069.18	425	2.14
5.14	3.60	687	-273.35	-82252.87	430	2.16
5.14	3.60	687	-273.35	-82252.87	430	2.16
5.14	3.60	686	-273.35	-82945.43	426	2.14
5.14	3.57	694	-273.35	-77367.12	420	2.11
5.14	3.57	694	-273.35	-77367.12	420	2.11
5.14	3.58	692	-273.35	-78769.87	426	2.14
5.14	3.58	692	-273.35	-78769.87	426	2.14
5.14	3.60	688	-273.35	-81559.00	429	2.16
5.14	3.58	692	-273.35	-78769.87	421	2.12
5.14	3.58	692	-273.35	-78769.87	421	2.12
5.14	3.56	699	-273.35	-73836.06	415	2.09
5.14	3.56	699	-273.35	-73836.06	415	2.09
5.14	3.56	699	-273.35	-73836.06	419	2.11
5.14	3.57	695	-273.35	-76663.68	423	2.13
5.14	3.57	695	-273.35	-76663.68	423	2.13
5.14	3.57	694	-273.35	-77367.12	419	2.11
