vdd	vair_f	air_adc	AirTemp	therm_resistance	AirDirectADC	AirDirectVolt
0.00	0.00	0	0.00	0.00	0	0.00
0.00	0.00	0	0.00	0.00	0	0.00
2.19	0.78	0	-22.97	611488.37	1023	2.19
2.19	0.78	0	-22.97	611488.37	1023	2.19
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1017	2.17
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1020	2.18
2.18	0.77	0	-23.20	620046.50	1020	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.12	617182.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1022	2.18
2.18	0.77	0	-23.20	620046.50	1022	2.18
2.18	0.77	0	-23.20	620046.50	1018	2.17
2.18	0.77	0	-23.20	620046.50	1018	2.17
2.18	0.77	0	-23.12	617182.50	1004	2.14
2.19	0.77	0	-23.05	614329.87	989	2.11
2.19	0.77	0	-23.05	614329.87	989	2.11
2.19	0.77	0	-23.05	614329.87	974	2.08
2.19	0.77	0	-23.05	614329.87	974	2.08
2.19	0.78	0	-22.97	611488.37	967	2.07
2.19	0.78	0	-22.97	611488.37	967	2.07
2.19	0.78	0	-22.97	611488.37	970	2.08
2.19	0.78	0	-22.97	611488.37	968	2.07
2.19	0.78	0	-22.97	611488.37	968	2.07
2.19	0.78	0	-22.97	611488.37	960	2.05
2.19	0.78	0	-22.97	611488.37	960	2.05
2.19	0.78	0	-22.90	608658.75	947	2.03
2.19	0.78	0	-22.90	608658.75	947	2.03
2.19	0.78	0	-22.90	608658.75	927	1.99
2.19	0.75	27	-24.20	659299.75	766	1.64
2.19	0.75	27	-24.20	659299.75	766	1.64
2.19	0.70	83	-26.77	773131.50	663	1.42
2.19	0.70	83	-26.77	773131.50	663	1.42
2.19	0.67	114	-28.13	842026.12	629	1.34
2.19	0.67	112	-28.04	837399.00	640	1.37
2.19	0.67	112	-28.04	837399.00	640	1.37
2.19	0.68	103	-27.65	816897.50	646	1.38
2.19	0.68	103	-27.65	816897.50	646	1.38
2.19	0.68	105	-27.73	821408.87	635	1.36
2.19	0.68	105	-27.73	821408.87	635	1.36
2.19	0.67	114	-28.13	842026.12	629	1.34
2.19	0.69	86	-26.90	779544.12	677	1.45
2.19	0.69	86	-26.90	779544.12	677	1.45
2.19	0.77	8	-23.34	625324.00	841	1.80
2.19	0.77	8	-23.34	625324.00	841	1.80
2.19	0.78	0	-22.90	608658.75	935	2.00
2.19	0.78	0	-22.90	608658.75	936	2.01
2.19	0.78	0	-22.90	608658.75	936	2.01
2.19	0.78	0	-22.90	608658.75	941	2.02
2.19	0.78	0	-22.90	608658.75	941	2.02
2.19	0.78	0	-22.90	608658.75	945	2.02
2.19	0.78	0	-22.90	608658.75	945	2.02
2.19	0.78	0	-22.97	611488.37	957	2.05
2.19	0.77	0	-23.05	614329.87	977	2.09
2.19	0.77	0	-23.05	614329.87	977	2.09
2.18	0.77	0	-23.12	617182.50	1004	2.14
2.18	0.77	0	-23.12	617182.50	1004	2.14
2.18	0.77	0	-23.20	620046.50	1020	2.18
2.18	0.77	0	-23.20	620046.50	1020	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1022	2.18
2.18	0.77	0	-23.20	620046.50	1022	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1018	2.17
2.18	0.77	0	-23.20	620046.50	1018	2.17
2.18	0.77	0	-23.20	620046.50	1022	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1022	2.18
2.18	0.77	0	-23.20	620046.50	1022	2.18
2.18	0.77	0	-23.20	620046.50	1016	2.17
2.18	0.77	0	-23.20	620046.50	1016	2.17
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1015	2.17
2.18	0.77	0	-23.20	620046.50	1015	2.17
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1022	2.18
2.18	0.77	0	-23.20	620046.50	1022	2.18
2.18	0.77	0	-23.20	620046.50	1020	2.18
2.18	0.77	0	-23.20	620046.50	1020	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.18	0.77	0	-23.20	620046.50	1023	2.18
2.28	0.87	0	-20.10	513856.75	1020	2.27
2.28	0.87	0	-20.10	513856.75	1020	2.27
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1022	2.27
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1021	2.27
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1019	2.27
2.28	0.87	0	-20.10	513856.75	1019	2.27
2.28	0.87	0	-20.10	513856.75	1019	2.27
2.28	0.87	0	-20.10	513856.75	1019	2.27
2.28	0.87	0	-20.10	513856.75	1019	2.27
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1020	2.27
2.28	0.87	0	-20.10	513856.75	1020	2.27
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1015	2.26
2.28	0.87	0	-20.02	511405.87	993	2.21
2.28	0.87	0	-20.02	511405.87	993	2.21
2.28	0.87	0	-19.94	508964.00	984	2.19
2.28	0.87	0	-19.94	508964.00	984	2.19
2.28	0.87	0	-19.94	508964.00	982	2.19
2.28	0.87	0	-19.94	508964.00	981	2.19
2.28	0.87	0	-19.94	508964.00	981	2.19
2.28	0.87	0	-19.94	508964.00	975	2.17
2.28	0.87	0	-19.94	508964.00	975	2.17
2.28	0.88	0	-19.86	506531.25	960	2.14
2.28	0.88	0	-19.86	506531.25	960	2.14
2.29	0.88	0	-19.78	504107.87	936	2.09
2.29	0.85	32	-21.23	550009.75	784	1.75
2.29	0.85	32	-21.23	550009.75	784	1.75
2.29	0.77	113	-25.01	693246.75	670	1.50
2.29	0.77	113	-25.01	693246.75	670	1.50
2.29	0.77	109	-24.83	685615.87	681	1.52
2.29	0.77	109	-24.83	685615.87	681	1.52
2.29	0.78	104	-24.61	676187.00	679	1.52
2.29	0.74	137	-26.08	740734.87	633	1.42
2.29	0.74	137	-26.08	740734.87	633	1.42
2.29	0.73	147	-26.52	761428.37	630	1.41
2.29	0.73	147	-26.52	761428.37	630	1.41
2.29	0.74	142	-26.30	751012.12	642	1.44
2.29	0.75	134	-25.95	734634.00	644	1.44
2.29	0.75	134	-25.95	734634.00	644	1.44
2.29	0.74	138	-26.12	742779.50	632	1.41
2.29	0.74	138	-26.12	742779.50	632	1.41
2.29	0.73	147	-26.52	761428.37	629	1.41
2.29	0.76	123	-25.46	712672.25	669	1.50
2.29	0.76	123	-25.46	712672.25	669	1.50
2.29	0.88	4	-19.90	507541.87	896	2.01
2.29	0.88	4	-19.90	507541.87	896	2.01
2.29	0.88	0	-19.78	504107.87	925	2.07
2.29	0.88	0	-19.78	504107.87	925	2.07
2.29	0.88	1	-19.83	505570.25	924	2.07
2.29	0.88	1	-19.83	505570.25	930	2.08
2.29	0.88	1	-19.83	505570.25	930	2.08
2.29	0.88	0	-19.78	504107.87	943	2.11
2.29	0.88	0	-19.78	504107.87	943	2.11
2.28	0.88	0	-19.86	506531.25	961	2.15
2.28	0.88	0	-19.86	506531.25	961	2.15
2.28	0.87	0	-19.94	508964.00	986	2.20
2.28	0.87	0	-20.02	511405.87	1012	2.25
2.28	0.87	0	-20.02	511405.87	1012	2.25
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1022	2.27
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1022	2.27
2.28	0.87	0	-20.10	513856.75	1022	2.27
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1016	2.26
2.28	0.87	0	-20.10	513856.75	1016	2.26
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1023	2.28
2.28	0.87	0	-20.10	513856.75	1022	2.27
2.28	0.87	0	-20.10	513856.75	1022	2.27
2.47	1.07	0	-14.00	358098.00	1023	2.47
2.47	1.07	0	-14.00	358098.00	1023	2.47
2.47	1.07	0	-14.00	358098.00	1023	2.47
2.47	1.07	0	-14.00	358098.00	1023	2.47
2.47	1.07	0	-14.00	358098.00	1023	2.47
2.47	1.07	0	-14.00	358098.00	1023	2.47
2.47	1.07	0	-14.00	358098.00	1023	2.47
2.47	1.07	0	-14.00	358098.00	1023	2.47
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1022	2.37
2.37	0.97	0	-17.07	428899.62	1022	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1018	2.36
2.37	0.97	0	-17.07	428899.62	1018	2.36
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1021	2.37
2.37	0.97	0	-17.07	428899.62	1021	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1023	2.37
2.37	0.97	0	-17.07	428899.62	1019	2.36
2.37	0.97	0	-17.07	428899.62	1019	2.36
2.37	0.97	0	-17.07	428899.62	1005	2.33
2.37	0.97	0	-17.07	428899.62	1005	2.33
2.38	0.97	0	-16.99	426756.12	987	2.29
2.38	0.97	0	-16.90	424620.12	966	2.25
2.38	0.97	0	-16.90	424620.12	966	2.25
2.38	0.97	1	-16.87	423776.00	948	2.21
2.38	0.97	1	-16.87	423776.00	948	2.21
2.38	0.97	4	-16.94	425507.37	911	2.12
2.38	0.97	4	-16.94	425507.37	911	2.12
2.39	0.94	41	-18.63	470557.00	804	1.88
2.39	0.94	45	-18.83	476127.50	800	1.87
2.39	0.94	45	-18.83	476127.50	800	1.87
2.39	0.94	45	-18.83	476127.50	808	1.89
2.39	0.94	45	-18.83	476127.50	808	1.89
2.39	0.94	40	-18.58	469171.87	813	1.90
2.39	0.94	40	-18.58	469171.87	813	1.90
2.39	0.94	44	-18.78	474730.25	798	1.86
2.39	0.86	114	-22.20	583294.75	694	1.62
2.39	0.86	114	-22.20	583294.75	694	1.62
2.38	0.80	178	-25.18	700452.37	634	1.48
2.38	0.80	178	-25.18	700452.37	634	1.48
2.39	0.81	170	-24.75	681988.37	645	1.50
2.38	0.81	166	-24.64	677574.12	639	1.49
2.38	0.81	166	-24.64	677574.12	639	1.49
2.38	0.80	174	-25.00	692747.50	629	1.47
2.38	0.80	174	-25.00	692747.50	629	1.47
2.38	0.79	179	-25.22	702391.00	632	1.47
2.38	0.80	172	-24.91	688925.50	643	1.50
2.38	0.80	172	-24.91	688925.50	643	1.50
2.38	0.81	166	-24.64	677574.12	641	1.49
2.38	0.81	166	-24.64	677574.12	641	1.49
2.38	0.81	168	-24.73	681338.75	636	1.48
2.38	0.81	168	-24.73	681338.75	636	1.48
2.39	0.90	78	-20.51	526526.50	757	1.77
2.38	0.97	2	-16.92	425063.50	935	2.18
2.38	0.97	2	-16.92	425063.50	935	2.18
2.38	0.97	1	-16.87	423776.00	947	2.20
