vdd	vair_f	air_adc	AirDirectADC	AirDirectVolt
0.00	0.00	0	0	0.00
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1022	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1021	4.94
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1021	4.94
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1022	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1022	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1022	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1019	4.93
4.96	3.69	0	1022	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1020	4.94
4.96	3.69	0	1023	4.95
4.96	3.69	0	1017	4.92
4.96	3.69	0	1022	4.95
4.96	3.69	0	1022	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1018	4.93
4.96	3.69	0	1023	4.95
4.96	3.69	0	1021	4.94
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1020	4.94
4.96	3.69	0	1022	4.95
4.96	3.69	0	1022	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1023	4.95
4.96	3.69	0	1022	4.95
4.96	3.69	0	1020	4.94
4.96	3.69	0	994	4.81
4.96	3.69	0	899	4.35
4.96	3.69	0	891	4.31
4.96	3.69	0	863	4.18
4.96	3.69	0	871	4.22
4.96	3.69	0	853	4.13
4.96	3.69	0	850	4.12
4.96	3.69	0	833	4.03
4.96	3.69	0	818	3.96
4.96	3.68	2	811	3.93
4.96	3.64	9	796	3.85
4.96	3.63	13	791	3.83
4.96	3.57	25	779	3.77
4.96	3.55	28	775	3.75
4.96	3.54	31	770	3.73
4.96	3.51	38	766	3.71
4.96	3.49	41	765	3.70
4.96	3.45	50	760	3.68
4.96	3.42	58	754	3.65
4.96	3.37	69	747	3.62
4.96	3.37	70	746	3.61
4.96	3.28	94	731	3.54
4.96	3.20	117	717	3.47
4.96	3.14	134	711	3.44
4.96	3.10	144	705	3.41
4.96	3.08	150	698	3.38
4.96	3.05	160	699	3.38
