vdd	vair_f	air_adc	AirTemp	therm_resistance	AirDirectADC    AirDirectVolt
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	1023	4.96
4.96	5.74	0	-273.35	-363910.25	872	4.23
4.96	5.74	0	-273.35	-363910.25	872	4.23
4.96	5.48	74	-273.35	-343535.06	670	3.25
4.96	5.48	74	-273.35	-343535.06	670	3.25
4.93	4.06	469	-273.35	-189041.75	397	1.91
4.93	3.01	771	39.51	23997.25	171	0.82
4.93	3.01	771	39.51	23997.25	171	0.82
4.93	3.01	771	39.51	23997.25	0	0.00
4.93	3.01	771	39.51	23997.25	0	0.00
4.93	3.01	770	40.43	23044.87	146	0.70
4.93	3.01	770	40.43	23044.87	47	0.23
4.93	3.01	770	40.43	23044.87	47	0.23
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	770	40.43	23044.87	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
4.93	3.01	769	41.40	22094.81	0	0.00
