vdd	water_volt	water_adc	waterTemp	water_R	DirectADC	DirectVolt	
5.14	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	70	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1021	5.14	
5.15	0.00	70	0.00	0.00	1023	5.15	
5.15	0.00	70	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1021	5.14	
5.15	0.00	71	0.00	0.00	1022	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	70	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	70	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	70	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	70	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	70	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	70	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	70	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1021	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	70	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.15	0.00	71	0.00	0.00	1023	5.15	
5.14	0.00	70	0.00	0.00	1023	5.14	
5.14	0.00	70	0.00	0.00	1023	5.14	
5.14	0.00	70	0.00	0.00	1023	5.14	
5.14	0.00	70	0.00	0.00	1023	5.14	
5.14	0.00	70	0.00	0.00	1023	5.14	
5.14	0.00	70	0.00	0.00	1023	5.14	
5.14	0.00	70	0.00	0.00	1023	5.14	
5.14	0.00	70	0.00	0.00	1023	5.14	
5.14	0.00	70	0.00	0.00	1023	5.14	
5.14	0.00	70	0.00	0.00	1023	5.14	
5.13	0.00	70	0.00	0.00	1023	5.13	
5.13	0.00	70	0.00	0.00	1023	5.13	
5.14	0.00	69	0.00	0.00	1023	5.14	
5.14	0.00	70	0.00	0.00	1023	5.14	
5.14	0.00	69	0.00	0.00	1023	5.14	
5.14	0.00	69	0.00	0.00	1023	5.13	
5.13	0.00	69	0.00	0.00	1023	5.13	
5.13	0.00	69	0.00	0.00	1023	5.13	
5.13	0.00	69	0.00	0.00	1023	5.13	
5.13	0.00	69	0.00	0.00	1023	5.13	
5.13	0.00	69	0.00	0.00	1022	5.12	
5.13	0.00	69	0.00	0.00	1023	5.13	
5.13	0.00	69	0.00	0.00	1023	5.11	
5.11	0.00	68	0.00	0.00	1023	5.11	
5.11	0.00	68	0.00	0.00	1023	5.11	
5.11	0.00	68	0.00	0.00	1023	5.11	
5.11	0.00	68	0.00	0.00	1023	5.11	
5.11	0.00	68	0.00	0.00	1023	5.11	
5.10	0.00	67	0.00	0.00	1023	5.10	
5.10	0.00	68	0.00	0.00	1023	5.10	
5.10	0.00	68	0.00	0.00	1023	5.10	
5.10	0.00	68	0.00	0.00	1023	5.10	
5.10	0.00	68	0.00	0.00	1023	5.10	
5.09	0.00	67	0.00	0.00	1023	5.09	
5.09	0.00	67	0.00	0.00	1023	5.09	
5.09	0.00	67	0.00	0.00	1023	5.09	
5.09	0.00	67	0.00	0.00	1023	5.09	
5.08	0.00	66	0.00	0.00	1023	5.09	
5.09	0.00	66	0.00	0.00	1023	5.09	
5.08	0.00	66	0.00	0.00	1023	5.09	
5.08	0.00	66	0.00	0.00	1023	5.09	
5.08	0.00	66	0.00	0.00	1023	5.09	
5.09	0.00	66	0.00	0.00	1023	5.09	
5.09	0.00	66	0.00	0.00	1023	5.09	
5.09	0.00	66	0.00	0.00	1023	5.09	
5.08	0.00	66	0.00	0.00	1023	5.09	
5.08	0.00	66	0.00	0.00	1023	5.09	
5.08	0.00	66	0.00	0.00	1023	5.08	
5.09	0.00	66	0.00	0.00	1023	5.08	
5.08	0.00	66	0.00	0.00	1023	5.09	
5.08	0.00	66	0.00	0.00	1023	5.08	
5.08	0.00	66	0.00	0.00	1022	5.07	
5.08	0.00	65	0.00	0.00	1023	5.08	
5.08	0.00	66	0.00	0.00	1023	5.08	
5.08	0.00	66	0.00	0.00	1023	5.08	
5.08	0.00	65	0.00	0.00	1023	5.08	
5.08	0.00	66	0.00	0.00	1023	5.08	
5.08	0.00	66	0.00	0.00	1023	5.08	
5.08	0.00	66	0.00	0.00	1023	5.08	
5.08	0.00	66	0.00	0.00	1023	5.08	
5.08	0.00	66	0.00	0.00	1023	5.08	
5.08	0.00	66	0.00	0.00	1023	5.08	
5.07	0.00	65	0.00	0.00	1023	5.07	
5.07	0.00	65	0.00	0.00	1023	5.07	
5.07	0.00	65	0.00	0.00	1023	5.07	
5.05	0.00	64	0.00	0.00	1023	5.05	
5.05	0.00	64	0.00	0.00	1023	5.04	
5.04	0.00	64	0.00	0.00	1023	5.04	
5.04	0.00	64	0.00	0.00	1023	5.04	
5.04	0.00	64	0.00	0.00	1023	5.04	
5.04	0.00	64	0.00	0.00	1023	5.04	
5.04	0.00	63	0.00	0.00	1023	5.04	
5.03	0.00	63	0.00	0.00	1023	5.04	
5.04	0.00	63	0.00	0.00	1023	5.04	
5.04	0.00	63	0.00	0.00	1023	5.04	
5.03	0.00	62	0.00	0.00	1023	5.03	
5.03	0.00	62	0.00	0.00	1023	5.03	
5.03	0.00	62	0.00	0.00	1023	5.03	
5.03	0.00	62	0.00	0.00	1023	5.03	
5.03	0.00	62	0.00	0.00	1023	5.02	
5.02	0.00	62	0.00	0.00	1023	5.02	
5.02	0.00	61	0.00	0.00	1023	5.02	
5.01	0.00	61	0.00	0.00	1023	5.01	
5.01	0.00	61	0.00	0.00	1023	5.01	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.99	
4.99	0.00	60	0.00	0.00	1023	4.98	
4.98	0.00	59	0.00	0.00	1023	4.98	
4.98	0.00	59	0.00	0.00	1023	4.98	
4.98	0.00	59	0.00	0.00	1023	4.98	
4.98	0.00	59	0.00	0.00	1023	4.98	
4.97	0.00	58	0.00	0.00	1022	4.96	
4.97	0.00	58	0.00	0.00	1023	4.97	
4.97	0.00	57	0.00	0.00	1023	4.96	
4.96	0.00	58	0.00	0.00	1023	4.96	
4.96	0.00	58	0.00	0.00	1023	4.96	
4.96	0.00	58	0.00	0.00	1023	4.96	
4.95	0.00	57	0.00	0.00	1023	4.95	
4.95	0.00	57	0.00	0.00	1023	4.95	
4.95	0.00	57	0.00	0.00	1023	4.95	
4.95	0.00	57	0.00	0.00	1023	4.95	
4.95	0.00	57	0.00	0.00	1023	4.95	
4.93	0.00	56	0.00	0.00	1023	4.93	
4.93	0.00	56	0.00	0.00	1022	4.93	
4.93	0.00	56	0.00	0.00	1023	4.93	
