vdd	water_volt	water_adc	waterTemp	water_R	DirectADC	DirectVolt	
2.19	0.00	40	0.00	0.00	39	0.08	
2.19	0.00	40	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	40	0.00	0.00	40	0.09	
2.19	0.00	40	0.00	0.00	40	0.09	
2.19	0.00	40	0.00	0.00	40	0.09	
2.19	0.00	40	0.00	0.00	40	0.09	
2.19	0.00	40	0.00	0.00	39	0.08	
2.19	0.00	40	0.00	0.00	39	0.08	
2.19	0.00	40	0.00	0.00	38	0.08	
2.19	0.00	40	0.00	0.00	38	0.08	
2.19	0.00	40	0.00	0.00	37	0.08	
2.19	0.00	40	0.00	0.00	37	0.08	
2.19	0.00	40	0.00	0.00	37	0.08	
2.19	0.00	40	0.00	0.00	38	0.08	
2.19	0.00	40	0.00	0.00	39	0.08	
2.19	0.00	40	0.00	0.00	38	0.08	
2.19	0.00	40	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	35	0.07	
2.19	0.00	41	0.00	0.00	35	0.07	
2.19	0.00	40	0.00	0.00	36	0.08	
2.19	0.00	40	0.00	0.00	35	0.07	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	35	0.07	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	40	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	35	0.07	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	40	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	40	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	40	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	43	0.09	
2.19	0.00	40	0.00	0.00	44	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	43	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	43	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	40	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	43	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	40	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	40	0.00	0.00	38	0.08	
2.19	0.00	40	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	40	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	40	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	40	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	40	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	40	0.00	0.00	42	0.09	
2.19	0.00	40	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	40	0.00	0.00	41	0.09	
2.19	0.00	40	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	40	0.00	0.00	43	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	40	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	40	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	43	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	42	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	41	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	40	0.00	0.00	41	0.09	
2.19	0.00	40	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	40	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	40	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	40	0.00	0.00	38	0.08	
2.19	0.00	40	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	40	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	40	0.00	0.00	39	0.08	
2.19	0.00	40	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	40	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	40	0.09	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	40	0.00	0.00	38	0.08	
2.19	0.00	40	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	40	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	39	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	40	0.00	0.00	36	0.08	
2.19	0.00	40	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	40	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	35	0.07	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	40	0.00	0.00	37	0.08	
2.19	0.00	40	0.00	0.00	37	0.08	
2.19	0.00	40	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	38	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	35	0.07	
2.19	0.00	41	0.00	0.00	35	0.07	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	37	0.08	
2.19	0.00	41	0.00	0.00	35	0.07	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	40	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	35	0.07	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	36	0.08	
2.19	0.00	40	0.00	0.00	36	0.08	
2.19	0.00	41	0.00	0.00	35	0.07	
2.19	0.00	41	0.00	0.00	35	0.07	
2.19	0.00	41	0.00	0.00	35	0.07	
2.19	0.00	41	0.00	0.00	34	0.07	
2.19	0.00	41	0.00	0.00	34	0.07	
2.19	0.00	41	0.00	0.00	34	0.07	
2.19	0.00	41	0.00	0.00	34	0.07	
2.19	0.00	41	0.00	0.00	34	0.07	
2.19	0.00	41	0.00	0.00	34	0.07	
2.19	0.00	41	0.00	0.00	35	0.07	
2.19	0.00	41	0.00	0.00	32	0.07	
2.19	0.00	41	0.00	0.00	34	0.07	
2.19	0.00	41	0.00	0.00	34	0.07	
2.19	0.00	40	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	34	0.07	
2.19	0.00	41	0.00	0.00	32	0.07	
2.19	0.00	41	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	34	0.07	
2.19	0.00	40	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	32	0.07	
2.19	0.00	41	0.00	0.00	34	0.07	
2.19	0.00	40	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	35	0.07	
2.19	0.00	41	0.00	0.00	34	0.07	
2.19	0.00	41	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	32	0.07	
2.19	0.00	41	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	34	0.07	
2.19	0.00	41	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	32	0.07	
2.19	0.00	41	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	32	0.07	
2.19	0.00	40	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	32	0.07	
2.19	0.00	41	0.00	0.00	31	0.07	
2.19	0.00	41	0.00	0.00	32	0.07	
2.19	0.00	41	0.00	0.00	31	0.07	
2.19	0.00	41	0.00	0.00	33	0.07	
2.19	0.00	41	0.00	0.00	31	0.07	
2.19	0.00	41	0.00	0.00	31	0.07	
2.19	0.00	41	0.00	0.00	32	0.07	
2.19	0.00	41	0.00	0.00	31	0.07	
2.19	0.00	41	0.00	0.00	33	0.07	
